Q6@off,Q6,off,numeric,0,1,63,63,0,250,6.94,stop,19:09:06
Q6@off,Q6,off,numeric,1,1,44,44,0,235,7.39,stop,19:09:14
Q6@off,Q6,off,numeric,2,1,5,5,0,176,5.78,stop,19:09:19
Q6@off,Q6,off,numeric,3,1,579,579,0,320,9.9,stop,19:09:29
Q6@off,Q6,off,numeric,4,1,1145,1145,0,274,8.11,stop,19:09:37
Q6@off,Q6,off,json,0,1,"{'invoice_id': 'IN-2093', 'seller': 'Nordic Tooling Oy', 'buyer': 'Sundvik AB', ",},0,106,3.58,stop,19:09:41
Q6@off,Q6,off,json,1,1,"{'node': 'het-04', 'sockets': 2, 'cores': 64, 'ram_gb': 384, 'nvme_count': 4, 'n",},0,75,2.49,stop,19:09:43
Q6@off,Q6,off,json,2,0,"{'order_id': '#88117', 'customer': 'Lena Fischer', 'mugs_qty': 3, 'carafe_qty': ",},0,76,2.65,stop,19:09:46
Q6@off,Q6,off,json,3,1,"{'sensor': 'S-42', 'uptime_h': 312, 'warnings': 14, 'critical': 2, 'mean_temp_c'",},0,77,2.49,stop,19:09:49
Q6@off,Q6,off,json,4,1,"{'chair': 'Meret Aaltonen', 'attendees_count': 3, 'quorum': True, 'action_items'","{""chair"":""Meret Aaltonen"",""attendees_count"":3,""quorum"":true,""action_items"":3,""ne",0,45,2.13,stop,19:09:51
Q6@off,Q6,off,code,0,1,"assert flatten([1,[2,[3,[4]],5],[[6]]]) == [1,2,3,4,5,6]
assert flatten([]) == [",```,0,52,1.81,stop,19:09:53
Q6@off,Q6,off,code,1,1,"assert roman(4)=='IV' and roman(9)=='IX' and roman(58)=='LVIII'
assert roman(199",```,0,153,4.44,stop,19:09:57
Q6@off,Q6,off,code,2,1,"assert clean_pal('A man, a plan, a canal: Panama') is True
assert clean_pal('No ",```,0,37,1.47,stop,19:09:59
Q6@off,Q6,off,code,3,1,"assert running_sum([1,2,3,4]) == [1,3,6,10]
assert running_sum([]) == []
assert ",```,0,43,1.6,stop,19:10:00
Q6@off,Q6,off,code,4,1,"assert caesar('abc',2)=='cde' and caesar('xyz',2)=='zab'
assert caesar('Hello!',",```,0,93,2.81,stop,19:10:03
Q6@off,Q6,off,multihop,0,1,Mira Deel,Mira Deel,0,180,7.83,stop,19:10:11
Q6@off,Q6,off,multihop,1,1,Southmere Plant,Southmere Plant,0,134,8.43,stop,19:10:19
